,name,product_url,rating,reviews,price,product_type
25,"VIPEX Active Noise Cancelling Headphones, Bluetooth 5.0 Headphones Wireless Over Ear Headphones with Microphone, All Day Power with 30 Hours Playtime, Comfortable Protein Earpads (Black)",https://www.amazon.com/VIPEX-Cancelling-Headphones-Microphone-Comfortable/dp/B083LM2W2W/ref=sr_1_33?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&smid=A2OH2Q6QRXGAAG&sr=1-33,4.7 out of 5 stars,699,$39.99,Headphones
26,"POWMEE M2 Kids Headphones Wired Headphone for Kids,Foldable Adjustable Stereo Tangle-Free,3.5MM Jack Wire Cord On-Ear Headphone for Children/Teens/Girls/School/Kindle/Airplane/Plane/ (Blue)",https://www.amazon.com/POWMEE-M2-Headphones-Adjustable-Tangle-Free/dp/B07P7SXYRB/ref=sr_1_34?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-34,4.7 out of 5 stars,834,$7.99,Headphones
27,"Wireless Earbuds Bluetooth 5.0 Noise Cancelling Headphones with Fast Charging Case, IPX5 Waterproof 3D Stereo Headphones Built in Mic, Auto Pairing Bluetooth Earbuds for iPhone/Android",https://www.amazon.com/Wireless-Bluetooth-Cancelling-Headphones-Waterproof/dp/B088NSY2B1/ref=sr_1_35?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-35,5.0 out of 5 stars,42,$42.98,Headphones
28,"PowerLocus Bluetooth Over-Ear Headphones, Wireless Stereo Foldable Headphones Wireless and Wired Headsets with Built-in Mic, Micro SD/TF, FM for iPhone/Samsung/iPad/PC (Rose Gold)",https://www.amazon.com/PowerLocus-Bluetooth-Over-Ear-Headphones-Wireless/dp/B07D3P2J6C/ref=sr_1_36?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-36,4.4 out of 5 stars,"9,851",$27.99,Headphones
29,"Sleep Headphones Wireless, Perytong Bluetooth Sports Headband Headphones with Ultra-Thin HD Stereo Speakers Perfect for Sleeping,Workout,Jogging,Yoga,Insomnia, Air Travel, Meditation",https://www.amazon.com/Sleep-Headphones-Perytong-Ultra-Thin-Meditation/dp/B07SHBQY7Z/ref=sr_1_37?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-37,4.4 out of 5 stars,"1,888",$19.99,Headphones
30,Kids Headphones-noot products K22 Foldable Stereo Tangle-Free 3.5mm Jack Wired Cord On-Ear Headset for Children/Teens/Boys/Girls/Smartphones/School/Kindle/Airplane/Plane/Tablet (Teal/Lime),https://www.amazon.com/Headphones-noot-products-K22-Tangle-Free-Smartphones/dp/B07H2NQMLD/ref=sr_1_38?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-38,4.5 out of 5 stars,698,$7.99,Headphones
31,"LORELEI X6 Over-Ear Headphones with Microphone, Lightweight Foldable & Portable Stereo Bass Headphones with 1.45M No-Tangle, Wired Headphones for Smartphone Tablet MP3 / 4 (Dark Bule)",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_electronics_sr_pg2_2?ie=UTF8&adId=A0124112NEBOHQ8QDQXM&url=%2FLORELEI-X6-Headphones-Microphone-Lightweight%2Fdp%2FB08972JFW8%2Fref%3Dsr_1_40_sspa%3Fdchild%3D1%26keywords%3DHeadphones%26qid%3D1592473866%26s%3Delectronics%26sr%3D1-40-spons%26psc%3D1&qualifier=1592489128&id=2773765675494738&widgetName=sp_mtf,4.5 out of 5 stars,103,$19.99,Headphones
32,"Bose SoundSport, Wireless Earbuds, (Sweatproof Bluetooth Headphones for Running and Sports), Black",https://www.amazon.com/Bose-SoundSport-Wireless-Headphones-761529-0010/dp/B01L7PSJFO/ref=sr_1_41?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-41,4.1 out of 5 stars,"13,821",$99.00,Headphones
33,"Sony MDRZX110NC Noise Cancelling Headphones, Black, medium",https://www.amazon.com/Sony-MDRZX110NC-Noise-Cancelling-Headphones/dp/B00NG57H4S/ref=sr_1_42?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-42,4.0 out of 5 stars,"3,298",$38.00,Headphones
34,"POWMEE M1 Kids Headphones Wired Headphone for Kids,Foldable Adjustable Stereo Tangle-Free,3.5MM Jack Wire Cord On-Ear Headphone for Children (Blue)",https://www.amazon.com/POWMEE-M1-Headphones-Adjustable-Tangle-Free/dp/B07MF6QJBM/ref=sr_1_43?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-43,4.7 out of 5 stars,"1,081",$7.99,Headphones
35,Sony MDR7506 Professional Large Diaphragm Headphone,https://www.amazon.com/Sony-MDR7506-Professional-Diaphragm-Headphone/dp/B000AJIF4E/ref=sr_1_44?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-44,4.7 out of 5 stars,"8,258",$94.99,Headphones
36,"Boltune Wireless Headphones, Bluetooth V5.0 IPX7 Waterproof 16 Hours Playtime Bluetooth Headphones, with Magnetic Connection, Sports Earbuds for Running Built-in Mic",https://www.amazon.com/Boltune-Headphones-Bluetooth-Waterproof-Connection/dp/B07VWQ5GKV/ref=sr_1_45?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-45,4.6 out of 5 stars,"4,535",$25.99,Headphones
37,"iLuv TB100 Rose Gold True Wireless Earbuds Cordless in-Ear Bluetooth 5.0 with Hands-Free Call Microphone, IPX6 Waterproof Protection, High-Fidelity Sound; Includes Compact Charging Case & 3 Ear Tips",https://www.amazon.com/Hands-Free-Microphone-Waterproof-Protection-High-Fidelity/dp/B082XGZ455/ref=sr_1_46?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-46,4.3 out of 5 stars,"3,935",$32.99,Headphones
38,"iPhone Headphone Adapter, Compatible with iPhone 7/7Plus/8/X/Xs Max/XR/11 Pro Max Adapter Headphone Jack, to 3.5 mm Headphone Adapter Jack Compatible with iOS 11 12 13 White (Not Bluetooth) (2 Pack)",https://www.amazon.com/iPhone-Headphone-Adapter-Compatible-Bluetooth/dp/B0863GKH6L/ref=sr_1_47?dchild=1&keywords=Headphones&qid=1592473866&s=electronics&sr=1-47,4.7 out of 5 stars,323,$8.99,Headphones
